
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
1.99999996e-002, -9.60959941e-002, 3.99999991e-002, 1.47877622e+000
1.99999996e-002, -9.72971916e-002, 3.99999991e-002, 1.47122514e+000
1.99999996e-002, -9.84983891e-002, 3.99999991e-002, 1.46367466e+000
1.99999996e-002, -9.96995866e-002, 3.99999991e-002, 1.45612442e+000
1.99999996e-002, -1.00900784e-001, 3.99999991e-002, 1.44857490e+000
1.99999996e-002, -1.02101982e-001, 3.99999991e-002, 1.44160640e+000
1.99999996e-002, -1.03303179e-001, 3.99999991e-002, 1.44235229e+000
1.99999996e-002, -1.04504377e-001, 3.99999991e-002, 1.44309878e+000
1.99999996e-002, -1.05705574e-001, 3.99999991e-002, 1.44384563e+000
1.99999996e-002, -1.06906772e-001, 3.99999991e-002, 1.44459295e+000
1.99999996e-002, -1.08107969e-001, 3.99999991e-002, 1.44534075e+000
1.99999996e-002, -1.09309167e-001, 3.99999991e-002, 1.44608927e+000
1.99999996e-002, -1.10510364e-001, 3.99999991e-002, 1.44683826e+000
1.99999996e-002, -1.11711562e-001, 3.99999991e-002, 1.44758761e+000
1.99999996e-002, -1.12912759e-001, 3.99999991e-002, 1.45104373e+000
1.99999996e-002, -1.14113957e-001, 3.99999991e-002, 1.45574796e+000
1.99999996e-002, -1.15315154e-001, 3.99999991e-002, 1.46050596e+000
1.99999996e-002, -1.16516352e-001, 3.99999991e-002, 1.46531689e+000
1.99999996e-002, -1.17717549e-001, 3.99999991e-002, 1.47018051e+000
1.99999996e-002, -1.18918747e-001, 3.99999991e-002, 1.47509623e+000
1.99999996e-002, -1.20119944e-001, 3.99999991e-002, 1.48006356e+000
1.99999996e-002, -1.21321142e-001, 3.99999991e-002, 1.48508191e+000
1.99999996e-002, -1.22522339e-001, 3.99999991e-002, 1.48805106e+000
1.99999996e-002, -1.23723537e-001, 3.99999991e-002, 1.48650527e+000
1.99999996e-002, -1.24924734e-001, 3.99999991e-002, 1.48499715e+000
1.99999996e-002, -1.26125932e-001, 3.99999991e-002, 1.48352683e+000
1.99999996e-002, -1.27327129e-001, 3.99999991e-002, 1.48209465e+000
1.99999996e-002, -1.28528327e-001, 3.99999991e-002, 1.48070061e+000
1.99999996e-002, -1.29729524e-001, 3.99999991e-002, 1.47934461e+000
1.99999996e-002, -1.30930722e-001, 3.99999991e-002, 1.47802687e+000
1.99999996e-002, -1.32131919e-001, 3.99999991e-002, 1.47674751e+000
1.99999996e-002, -1.33333117e-001, 3.99999991e-002, 1.46580958e+000
1.99999996e-002, -1.34534314e-001, 3.99999991e-002, 1.45426047e+000
1.99999996e-002, -1.35735512e-001, 3.99999991e-002, 1.44274294e+000
1.99999996e-002, -1.36936709e-001, 3.99999991e-002, 1.43125725e+000
1.99999996e-002, -1.38137907e-001, 3.99999991e-002, 1.41980481e+000
1.99999996e-002, -1.39339104e-001, 3.99999991e-002, 1.40838599e+000
1.99999996e-002, -1.40540302e-001, 3.99999991e-002, 1.39700174e+000
1.99999996e-002, -1.41741499e-001, 3.99999991e-002, 1.38565290e+000
1.99999996e-002, -1.42942697e-001, 3.99999991e-002, 1.37602794e+000
1.99999996e-002, -1.44143894e-001, 3.99999991e-002, 1.36786962e+000
1.99999996e-002, -1.45345092e-001, 3.99999991e-002, 1.35989833e+000
1.99999996e-002, -1.46546289e-001, 3.99999991e-002, 1.35211718e+000
1.99999996e-002, -1.47747487e-001, 3.99999991e-002, 1.34452939e+000
1.99999996e-002, -1.48948684e-001, 3.99999991e-002, 1.33713841e+000
1.99999996e-002, -1.50149882e-001, 3.99999991e-002, 1.32994735e+000
1.99999996e-002, -1.51351079e-001, 3.99999991e-002, 1.32295978e+000
1.99999996e-002, -1.52552277e-001, 3.99999991e-002, 1.31676507e+000
1.99999996e-002, -1.53753474e-001, 3.99999991e-002, 1.31329155e+000
1.99999996e-002, -1.54954672e-001, 3.99999991e-002, 1.30988050e+000
1.99999996e-002, -1.56155869e-001, 3.99999991e-002, 1.30653274e+000
1.99999996e-002, -1.57357067e-001, 3.99999991e-002, 1.30324900e+000
1.99999996e-002, -1.58558264e-001, 3.99999991e-002, 1.30002940e+000
