Outer Velocity,Inner Velocity
 1.37518990e+000, 1.71953630e+000
 1.32924640e+000, 1.58279109e+000
 1.22472739e+000, 1.34623957e+000
 
Outer Velocity,Inner Velocity
 1.38754332e+000, 1.74970913e+000
 1.33541727e+000, 1.59972417e+000
 1.22800326e+000, 1.35603535e+000
 
Outer Velocity,Inner Velocity
 1.39738309e+000, 1.76331544e+000
 1.33407104e+000, 1.61081636e+000
 1.22342491e+000, 1.37120116e+000
 
Outer Velocity,Inner Velocity
 1.40519273e+000, 1.76350987e+000
 1.33134222e+000, 1.62077868e+000
 1.21889722e+000, 1.38642061e+000
 
Outer Velocity,Inner Velocity
 1.41304219e+000, 1.76380432e+000
 1.32866335e+000, 1.63074148e+000
 1.21442008e+000, 1.40169168e+000
 
Outer Velocity,Inner Velocity
 1.42093074e+000, 1.76419878e+000
 1.32603478e+000, 1.64070475e+000
 1.20999444e+000, 1.41701317e+000
 
Outer Velocity,Inner Velocity
 1.42885745e+000, 1.76469314e+000
 1.32345724e+000, 1.65066826e+000
 1.20562088e+000, 1.43238306e+000
 
Outer Velocity,Inner Velocity
 1.43682182e+000, 1.76528692e+000
 1.32093060e+000, 1.66063249e+000
 1.20130336e+000, 1.44779980e+000
 
Outer Velocity,Inner Velocity
 1.44482327e+000, 1.76598048e+000
 1.31845510e+000, 1.67059708e+000
 1.19703591e+000, 1.46326244e+000
 
Outer Velocity,Inner Velocity
 1.45286107e+000, 1.76677358e+000
 1.31603134e+000, 1.68056202e+000
 1.19282222e+000, 1.47876894e+000
 
Outer Velocity,Inner Velocity
 1.46122122e+000, 1.76570666e+000
 1.30940366e+000, 1.68380702e+000
 1.17774773e+000, 1.49389231e+000
 
Outer Velocity,Inner Velocity
 1.47122192e+000, 1.75582397e+000
 1.29792714e+000, 1.67943847e+000
 1.15905416e+000, 1.50890136e+000
 
Outer Velocity,Inner Velocity
 1.48177242e+000, 1.74609244e+000
 1.28650117e+000, 1.67522383e+000
 1.14037275e+000, 1.52395618e+000
 
Outer Velocity,Inner Velocity
 1.49286151e+000, 1.73651433e+000
 1.27512705e+000, 1.67116416e+000
 1.12170398e+000, 1.53905606e+000
 
Outer Velocity,Inner Velocity
 1.50447690e+000, 1.72709179e+000
 1.26380658e+000, 1.66726124e+000
 1.10304856e+000, 1.55419910e+000
 
Outer Velocity,Inner Velocity
 1.51660693e+000, 1.71782804e+000
 1.25254047e+000, 1.66351521e+000
 1.08440697e+000, 1.56938457e+000
 
Outer Velocity,Inner Velocity
 1.52923870e+000, 1.70872533e+000
 1.24133074e+000, 1.65992820e+000
 1.06579876e+000, 1.58461094e+000
 
Outer Velocity,Inner Velocity
 1.54236042e+000, 1.69978654e+000
 1.23017883e+000, 1.65650010e+000
 1.04719043e+000, 1.59987700e+000
 
Outer Velocity,Inner Velocity
 1.55595970e+000, 1.69101417e+000
 1.21958292e+000, 1.65243399e+000
 1.02640581e+000, 1.60888505e+000
 
Outer Velocity,Inner Velocity
 1.57110155e+000, 1.68511724e+000
 1.21427560e+000, 1.64020598e+000
 1.00186765e+000, 1.60719121e+000
 
Outer Velocity,Inner Velocity
 1.58696103e+000, 1.67993724e+000
 1.20923138e+000, 1.62813520e+000
 9.77338374e-001, 1.60559988e+000
 
Outer Velocity,Inner Velocity
 1.60327268e+000, 1.67481279e+000
 1.20445347e+000, 1.61622548e+000
 9.52818513e-001, 1.60411155e+000
 
Outer Velocity,Inner Velocity
 1.62002265e+000, 1.66974449e+000
 1.19994533e+000, 1.60448062e+000
 9.28308785e-001, 1.60272670e+000
 
Outer Velocity,Inner Velocity
 1.63719749e+000, 1.66473234e+000
 1.19570971e+000, 1.59290349e+000
 9.03810203e-001, 1.60144532e+000
 
Outer Velocity,Inner Velocity
 1.65478384e+000, 1.65977740e+000
 1.19174957e+000, 1.58149815e+000
 8.79346669e-001, 1.60026753e+000
 
Outer Velocity,Inner Velocity
 1.67276931e+000, 1.65487993e+000
 1.18806791e+000, 1.57026887e+000
 8.54877234e-001, 1.59919369e+000
 
Outer Velocity,Inner Velocity
 1.69114053e+000, 1.65004015e+000
 1.18466711e+000, 1.55921900e+000
 8.30103457e-001, 1.59821236e+000
 
Outer Velocity,Inner Velocity
 1.70434153e+000, 1.64612865e+000
 1.19038618e+000, 1.55330467e+000
 8.24625731e-001, 1.58143449e+000
 
Outer Velocity,Inner Velocity
 1.71041405e+000, 1.64338827e+000
 1.19979930e+000, 1.54943800e+000
 8.19140673e-001, 1.56466353e+000
 
Outer Velocity,Inner Velocity
 1.71649671e+000, 1.64067364e+000
 1.20927346e+000, 1.54557991e+000
 8.13722849e-001, 1.54811430e+000
 
Outer Velocity,Inner Velocity
 1.72258937e+000, 1.63798487e+000
 1.21880794e+000, 1.54173124e+000
 8.08373809e-001, 1.53179383e+000
 
Outer Velocity,Inner Velocity
 1.72869205e+000, 1.63532197e+000
 1.22840059e+000, 1.53789186e+000
 8.03094804e-001, 1.51570976e+000
 
Outer Velocity,Inner Velocity
 1.73480427e+000, 1.63268542e+000
 1.23805046e+000, 1.53406179e+000
 7.97891736e-001, 1.49986947e+000
 
Outer Velocity,Inner Velocity
 1.74092627e+000, 1.63007462e+000
 1.24775612e+000, 1.53024065e+000
 7.92757988e-001, 1.48428118e+000
 
Outer Velocity,Inner Velocity
 1.74705780e+000, 1.62749028e+000
 1.25751638e+000, 1.52642918e+000
 7.87698448e-001, 1.46895218e+000
 
Outer Velocity,Inner Velocity
 1.75244653e+000, 1.62454832e+000
 1.27031791e+000, 1.52372289e+000
 8.03569317e-001, 1.45678806e+000
 
Outer Velocity,Inner Velocity
 1.74630606e+000, 1.61575150e+000
 1.28917110e+000, 1.52330244e+000
 8.33064914e-001, 1.44672751e+000
 
Outer Velocity,Inner Velocity
 1.74018323e+000, 1.60696769e+000
 1.30808926e+000, 1.52302384e+000
 8.62564564e-001, 1.43684912e+000
 
Outer Velocity,Inner Velocity
 1.73407829e+000, 1.59819627e+000
 1.32706916e+000, 1.52288687e+000
 8.92067909e-001, 1.42715693e+000
 
Outer Velocity,Inner Velocity
 1.72799170e+000, 1.58943808e+000
 1.34610879e+000, 1.52289224e+000
 9.21574354e-001, 1.41765463e+000
 
Outer Velocity,Inner Velocity
 1.72192335e+000, 1.58069301e+000
 1.36520505e+000, 1.52303922e+000
 9.51083839e-001, 1.40834594e+000
 
Outer Velocity,Inner Velocity
 1.71587360e+000, 1.57196176e+000
 1.38435602e+000, 1.52332807e+000
 9.80566919e-001, 1.39923501e+000
 
Outer Velocity,Inner Velocity
 1.70984268e+000, 1.56324399e+000
 1.40355921e+000, 1.52375889e+000
 1.01007640e+000, 1.39032543e+000
 
Outer Velocity,Inner Velocity
 1.70383072e+000, 1.55454028e+000
 1.42281282e+000, 1.52433133e+000
 1.04401207e+000, 1.38497460e+000
 
Outer Velocity,Inner Velocity
 1.69288969e+000, 1.53955507e+000
 1.43848872e+000, 1.51581109e+000
 1.09334540e+000, 1.39138722e+000
 
Outer Velocity,Inner Velocity
 1.67971933e+000, 1.52174914e+000
 1.45407224e+000, 1.50702357e+000
 1.14268792e+000, 1.39789903e+000
 
Outer Velocity,Inner Velocity
 1.66655314e+000, 1.50396883e+000
 1.46972096e+000, 1.49839616e+000
