
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
9.99999978e-003, 0.00000000e+000, 3.99999991e-002, 1.58279109e+000
9.99999978e-003, -1.20120123e-003, 3.99999991e-002, 1.59972417e+000
9.99999978e-003, -2.40240246e-003, 3.99999991e-002, 1.61081636e+000
9.99999978e-003, -3.60360369e-003, 3.99999991e-002, 1.62077868e+000
9.99999978e-003, -4.80480492e-003, 3.99999991e-002, 1.63074148e+000
9.99999978e-003, -6.00600615e-003, 3.99999991e-002, 1.64070475e+000
9.99999978e-003, -7.20720738e-003, 3.99999991e-002, 1.65066826e+000
9.99999978e-003, -8.40840861e-003, 3.99999991e-002, 1.66063249e+000
9.99999978e-003, -9.60960984e-003, 3.99999991e-002, 1.67059708e+000
9.99999978e-003, -1.08108111e-002, 3.99999991e-002, 1.68056202e+000
9.99999978e-003, -1.20120123e-002, 3.99999991e-002, 1.68380702e+000
9.99999978e-003, -1.32132135e-002, 3.99999991e-002, 1.67943847e+000
9.99999978e-003, -1.44144148e-002, 3.99999991e-002, 1.67522383e+000
9.99999978e-003, -1.56156160e-002, 3.99999991e-002, 1.67116416e+000
9.99999978e-003, -1.68168172e-002, 3.99999991e-002, 1.66726124e+000
9.99999978e-003, -1.80180185e-002, 3.99999991e-002, 1.66351521e+000
9.99999978e-003, -1.92192197e-002, 3.99999991e-002, 1.65992820e+000
9.99999978e-003, -2.04204209e-002, 3.99999991e-002, 1.65650010e+000
9.99999978e-003, -2.16216221e-002, 3.99999991e-002, 1.65243399e+000
9.99999978e-003, -2.28228234e-002, 3.99999991e-002, 1.64020598e+000
9.99999978e-003, -2.40240246e-002, 3.99999991e-002, 1.62813520e+000
9.99999978e-003, -2.52252258e-002, 3.99999991e-002, 1.61622548e+000
9.99999978e-003, -2.64264271e-002, 3.99999991e-002, 1.60448062e+000
9.99999978e-003, -2.76276283e-002, 3.99999991e-002, 1.59290349e+000
9.99999978e-003, -2.88288295e-002, 3.99999991e-002, 1.58149815e+000
9.99999978e-003, -3.00300308e-002, 3.99999991e-002, 1.57026887e+000
9.99999978e-003, -3.12312320e-002, 3.99999991e-002, 1.55921900e+000
9.99999978e-003, -3.24324332e-002, 3.99999991e-002, 1.55330467e+000
9.99999978e-003, -3.36336344e-002, 3.99999991e-002, 1.54943800e+000
9.99999978e-003, -3.48348357e-002, 3.99999991e-002, 1.54557991e+000
9.99999978e-003, -3.60360369e-002, 3.99999991e-002, 1.54173124e+000
9.99999978e-003, -3.72372381e-002, 3.99999991e-002, 1.53789186e+000
9.99999978e-003, -3.84384394e-002, 3.99999991e-002, 1.53406179e+000
9.99999978e-003, -3.96396406e-002, 3.99999991e-002, 1.53024065e+000
9.99999978e-003, -4.08408418e-002, 3.99999991e-002, 1.52642918e+000
9.99999978e-003, -4.20420431e-002, 3.99999991e-002, 1.52372289e+000
9.99999978e-003, -4.32432443e-002, 3.99999991e-002, 1.52330244e+000
9.99999978e-003, -4.44444455e-002, 3.99999991e-002, 1.52302384e+000
9.99999978e-003, -4.56456468e-002, 3.99999991e-002, 1.52288687e+000
9.99999978e-003, -4.68468480e-002, 3.99999991e-002, 1.52289224e+000
9.99999978e-003, -4.80480492e-002, 3.99999991e-002, 1.52303922e+000
9.99999978e-003, -4.92492504e-002, 3.99999991e-002, 1.52332807e+000
9.99999978e-003, -5.04504517e-002, 3.99999991e-002, 1.52375889e+000
9.99999978e-003, -5.16516529e-002, 3.99999991e-002, 1.52433133e+000
9.99999978e-003, -5.28528541e-002, 3.99999991e-002, 1.51581109e+000
9.99999978e-003, -5.40540554e-002, 3.99999991e-002, 1.50702357e+000
9.99999978e-003, -5.52552566e-002, 3.99999991e-002, 1.49839616e+000
9.99999978e-003, -5.64564578e-002, 3.99999991e-002, 1.48993194e+000
9.99999978e-003, -5.76576591e-002, 3.99999991e-002, 1.48163342e+000
9.99999978e-003, -5.88588603e-002, 3.99999991e-002, 1.47350383e+000
9.99999978e-003, -6.00600615e-002, 3.99999991e-002, 1.46554530e+000
9.99999978e-003, -6.12612627e-002, 3.99999991e-002, 1.45776105e+000
9.99999978e-003, -6.24624640e-002, 3.99999991e-002, 1.44790900e+000
9.99999978e-003, -6.36636615e-002, 3.99999991e-002, 1.43646514e+000
9.99999978e-003, -6.48648590e-002, 3.99999991e-002, 1.42503452e+000
9.99999978e-003, -6.60660565e-002, 3.99999991e-002, 1.41361654e+000
9.99999978e-003, -6.72672540e-002, 3.99999991e-002, 1.40221202e+000
9.99999978e-003, -6.84684515e-002, 3.99999991e-002, 1.39082098e+000
9.99999978e-003, -6.96696490e-002, 3.99999991e-002, 1.37944400e+000
9.99999978e-003, -7.08708465e-002, 3.99999991e-002, 1.36808145e+000
9.99999978e-003, -7.20720440e-002, 3.99999991e-002, 1.35782039e+000
9.99999978e-003, -7.32732415e-002, 3.99999991e-002, 1.35196662e+000
9.99999978e-003, -7.44744390e-002, 3.99999991e-002, 1.34630537e+000
9.99999978e-003, -7.56756365e-002, 3.99999991e-002, 1.34083903e+000
9.99999978e-003, -7.68768340e-002, 3.99999991e-002, 1.33556986e+000
9.99999978e-003, -7.80780315e-002, 3.99999991e-002, 1.33050048e+000
9.99999978e-003, -7.92792290e-002, 3.99999991e-002, 1.32563317e+000
9.99999978e-003, -8.04804265e-002, 3.99999991e-002, 1.32096994e+000
9.99999978e-003, -8.16816241e-002, 3.99999991e-002, 1.31651330e+000
9.99999978e-003, -8.28828216e-002, 3.99999991e-002, 1.31893241e+000
9.99999978e-003, -8.40840191e-002, 3.99999991e-002, 1.32299757e+000
9.99999978e-003, -8.52852166e-002, 3.99999991e-002, 1.32728815e+000
9.99999978e-003, -8.64864141e-002, 3.99999991e-002, 1.33180225e+000
9.99999978e-003, -8.76876116e-002, 3.99999991e-002, 1.33653772e+000
9.99999978e-003, -8.88888091e-002, 3.99999991e-002, 1.34149206e+000
9.99999978e-003, -9.00900066e-002, 3.99999991e-002, 1.34666288e+000
9.99999978e-003, -9.12912041e-002, 3.99999991e-002, 1.35204756e+000
9.99999978e-003, -9.24924016e-002, 3.99999991e-002, 1.35752261e+000
9.99999978e-003, -9.36935991e-002, 3.99999991e-002, 1.36297345e+000
9.99999978e-003, -9.48947966e-002, 3.99999991e-002, 1.36851084e+000
9.99999978e-003, -9.60959941e-002, 3.99999991e-002, 1.37413418e+000
9.99999978e-003, -9.72971916e-002, 3.99999991e-002, 1.37984216e+000
9.99999978e-003, -9.84983891e-002, 3.99999991e-002, 1.38563347e+000
9.99999978e-003, -9.96995866e-002, 3.99999991e-002, 1.39150751e+000
9.99999978e-003, -1.00900784e-001, 3.99999991e-002, 1.39746284e+000
9.99999978e-003, -1.02101982e-001, 3.99999991e-002, 1.40248859e+000
9.99999978e-003, -1.03303179e-001, 3.99999991e-002, 1.39417517e+000
9.99999978e-003, -1.04504377e-001, 3.99999991e-002, 1.38599467e+000
9.99999978e-003, -1.05705574e-001, 3.99999991e-002, 1.37794960e+000
9.99999978e-003, -1.06906772e-001, 3.99999991e-002, 1.37004244e+000
9.99999978e-003, -1.08107969e-001, 3.99999991e-002, 1.36227548e+000
9.99999978e-003, -1.09309167e-001, 3.99999991e-002, 1.35465121e+000
9.99999978e-003, -1.10510364e-001, 3.99999991e-002, 1.34717214e+000
